time_step,east_speed,east_count,west_speed,west_count,north_speed,north_count,south_speed,south_count
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
143.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
144.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0
145.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
146.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
147.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0
148.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
149.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
151.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
152.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
153.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
154.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
155.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
156.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
157.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
158.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
159.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
160.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
161.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
162.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
163.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
164.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
165.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
166.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
167.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
168.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
169.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
170.0,10.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0
171.0,10.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0
172.0,11.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0
173.0,12.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0
174.0,12.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0
175.0,12.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0
176.0,12.0,1.0,0.0,0.0,14.0,1.0,10.0,1.0
177.0,12.0,1.0,0.0,0.0,14.0,1.0,10.0,1.0
178.0,12.0,1.0,0.0,0.0,12.0,2.0,11.0,1.0
179.0,13.0,1.0,0.0,0.0,12.0,2.0,12.0,1.0
180.0,12.0,1.0,0.0,0.0,12.5,2.0,13.0,1.0
181.0,12.0,1.0,10.0,1.0,13.0,2.0,13.0,1.0
182.0,12.0,1.0,10.0,1.0,13.5,2.0,13.0,1.0
183.0,12.0,1.0,11.0,1.0,13.5,2.0,13.0,1.0
184.0,13.0,1.0,12.0,1.0,14.0,2.0,13.0,1.0
185.0,12.0,1.0,13.0,1.0,14.0,2.0,13.0,1.0
186.0,12.0,1.0,12.0,2.0,14.0,2.0,13.0,1.0
187.0,12.0,1.0,12.0,2.0,14.0,2.0,13.0,1.0
188.0,12.0,1.0,12.0,2.0,14.0,2.0,13.0,1.0
189.0,12.0,1.0,12.0,2.0,14.0,2.0,13.0,1.0
190.0,12.0,1.0,12.5,2.0,14.0,2.0,11.5,2.0
191.0,12.0,1.0,12.5,2.0,14.0,2.0,11.5,2.0
192.0,12.0,1.0,12.5,2.0,14.5,2.0,12.0,2.0
193.0,12.0,1.0,12.0,2.0,14.0,2.0,12.5,2.0
194.0,12.0,1.0,12.0,2.0,11.5,2.0,13.0,2.0
195.0,12.0,1.0,12.0,2.0,9.5,2.0,13.0,2.0
196.0,12.0,1.0,12.5,2.0,7.0,2.0,13.5,2.0
197.0,12.0,1.0,12.0,2.0,7.0,2.0,13.5,2.0
198.0,12.0,1.0,12.0,2.0,7.0,2.0,13.5,2.0
199.0,12.0,1.0,12.5,2.0,7.0,2.0,13.5,2.0
200.0,11.0,2.0,12.5,2.0,7.0,2.0,13.5,2.0
201.0,11.0,2.0,12.0,2.0,7.0,2.0,13.5,2.0
202.0,11.5,2.0,12.5,2.0,7.0,2.0,13.5,2.0
203.0,12.0,2.0,12.5,2.0,7.5,2.0,13.5,2.0
204.0,12.0,2.0,12.0,2.0,7.0,2.0,13.5,2.0
205.0,11.5,2.0,12.5,2.0,7.0,2.0,13.5,2.0
206.0,12.0,2.0,12.5,2.0,7.0,2.0,13.5,2.0
207.0,12.0,2.0,12.5,2.0,7.0,2.0,14.0,2.0
208.0,11.5,2.0,12.5,2.0,7.0,2.0,13.5,2.0
209.0,11.5,2.0,11.666666666666666,3.0,7.0,2.0,13.5,2.0
210.0,12.0,2.0,11.666666666666666,3.0,7.0,2.0,13.5,2.0
211.0,11.5,2.0,11.666666666666666,3.0,7.0,2.0,14.0,2.0
212.0,11.5,2.0,12.0,3.0,7.0,2.0,13.5,2.0
213.0,12.0,2.0,12.0,3.0,7.0,2.0,13.5,2.0
214.0,12.0,2.0,12.0,3.0,7.0,2.0,13.5,2.0
215.0,12.0,2.0,12.333333333333334,3.0,7.0,2.0,13.5,2.0
216.0,11.5,2.0,12.0,3.0,7.0,2.0,13.5,2.0
217.0,12.0,2.0,12.0,3.0,7.0,2.0,14.0,2.0
218.0,11.0,3.0,12.333333333333334,3.0,7.0,2.0,13.5,2.0
219.0,11.666666666666666,3.0,12.333333333333334,3.0,7.0,2.0,13.5,2.0
220.0,11.333333333333334,3.0,12.333333333333334,3.0,7.0,2.0,13.5,2.0
221.0,11.666666666666666,3.0,12.0,3.0,7.0,2.0,13.5,2.0
222.0,11.666666666666666,3.0,12.0,3.0,7.0,2.0,13.5,2.0
223.0,11.666666666666666,3.0,12.0,3.0,7.0,2.0,13.5,2.0
224.0,11.666666666666666,3.0,12.333333333333334,3.0,7.0,2.0,13.5,2.0
225.0,11.666666666666666,3.0,12.0,3.0,7.0,2.0,13.5,2.0
226.0,11.666666666666666,3.0,12.333333333333334,3.0,7.0,2.0,13.5,2.0
227.0,11.666666666666666,3.0,12.333333333333334,3.0,7.5,2.0,13.5,2.0
228.0,10.666666666666666,3.0,12.333333333333334,3.0,5.5,2.0,13.5,2.0
229.0,9.333333333333334,3.0,12.333333333333334,3.0,5.0,2.0,13.5,2.0
230.0,7.666666666666667,3.0,12.0,3.0,2.5,2.0,12.5,2.0
231.0,7.333333333333333,3.0,12.0,3.0,0.5,2.0,10.0,2.0
232.0,7.333333333333333,3.0,12.0,3.0,0.0,2.0,8.0,2.0
233.0,7.333333333333333,3.0,12.333333333333334,3.0,0.0,2.0,7.0,2.0
234.0,7.333333333333333,3.0,11.333333333333334,3.0,0.0,2.0,7.0,2.0
235.0,7.666666666666667,3.0,10.0,3.0,0.0,2.0,7.0,2.0
236.0,7.333333333333333,3.0,8.333333333333334,3.0,0.0,2.0,7.0,2.0
237.0,7.333333333333333,3.0,7.666666666666667,3.0,0.0,2.0,7.0,2.0
238.0,7.666666666666667,3.0,7.666666666666667,3.0,0.0,2.0,7.0,2.0
239.0,7.666666666666667,3.0,7.666666666666667,3.0,0.0,2.0,7.0,2.0
240.0,7.333333333333333,3.0,7.666666666666667,3.0,3.3333333333333335,3.0,7.0,2.0
241.0,7.333333333333333,3.0,8.0,3.0,3.3333333333333335,3.0,7.0,2.0
242.0,7.333333333333333,3.0,7.666666666666667,3.0,5.25,4.0,6.0,2.0
243.0,7.666666666666667,3.0,7.666666666666667,3.0,5.5,4.0,4.0,2.0
244.0,7.666666666666667,3.0,7.666666666666667,3.0,6.0,4.0,1.5,2.0
245.0,7.666666666666667,3.0,7.666666666666667,3.0,6.5,4.0,0.0,2.0
246.0,7.666666666666667,3.0,7.666666666666667,3.0,6.5,4.0,0.0,2.0
247.0,7.666666666666667,3.0,8.0,3.0,6.75,4.0,0.0,2.0
248.0,7.666666666666667,3.0,7.666666666666667,3.0,7.0,4.0,3.3333333333333335,3.0
249.0,7.666666666666667,3.0,7.666666666666667,3.0,6.75,4.0,3.3333333333333335,3.0
250.0,7.666666666666667,3.0,7.666666666666667,3.0,7.0,4.0,3.6666666666666665,3.0
251.0,7.666666666666667,3.0,7.0,3.0,7.25,4.0,4.0,3.0
252.0,7.666666666666667,3.0,6.666666666666667,3.0,7.0,4.0,4.333333333333333,3.0
253.0,7.666666666666667,3.0,5.333333333333333,3.0,7.25,4.0,4.666666666666667,3.0
254.0,7.666666666666667,3.0,4.0,3.0,6.75,4.0,4.666666666666667,3.0
255.0,7.666666666666667,3.0,4.0,3.0,7.25,4.0,4.666666666666667,3.0
256.0,7.333333333333333,3.0,4.0,3.0,7.25,4.0,4.666666666666667,3.0
257.0,7.666666666666667,3.0,4.0,3.0,7.25,4.0,4.666666666666667,3.0
258.0,7.666666666666667,3.0,4.0,3.0,7.0,4.0,4.666666666666667,3.0
259.0,7.333333333333333,3.0,4.0,3.0,7.0,4.0,4.666666666666667,3.0
260.0,7.333333333333333,3.0,4.0,3.0,6.75,4.0,4.666666666666667,3.0
261.0,7.333333333333333,3.0,4.333333333333333,3.0,6.75,4.0,6.0,4.0
262.0,6.0,3.0,4.0,3.0,7.0,4.0,6.0,4.0
263.0,5.75,4.0,4.0,3.0,7.4,5.0,6.25,4.0
264.0,5.25,4.0,4.0,3.0,7.6,5.0,6.5,4.0
265.0,5.5,4.0,4.0,3.0,7.8,5.0,6.75,4.0
266.0,5.75,4.0,4.0,3.0,7.8,5.0,7.0,4.0
267.0,5.75,4.0,3.6666666666666665,3.0,8.0,5.0,7.6,5.0
268.0,5.75,4.0,2.0,3.0,8.2,5.0,7.8,5.0
269.0,5.75,4.0,0.6666666666666666,3.0,8.0,5.0,8.0,5.0
270.0,5.75,4.0,2.5,4.0,8.4,5.0,8.0,5.0
271.0,5.75,4.0,2.5,4.0,8.2,5.0,8.0,5.0
272.0,5.75,4.0,2.75,4.0,8.2,5.0,8.0,5.0
273.0,5.75,4.0,3.0,4.0,8.0,5.0,8.2,5.0
274.0,5.75,4.0,3.0,4.0,8.2,5.0,8.0,5.0
275.0,5.75,4.0,3.0,4.0,8.2,5.0,8.2,5.0
276.0,5.75,4.0,4.4,5.0,8.5,6.0,8.333333333333334,6.0
277.0,5.75,4.0,4.4,5.0,8.333333333333334,6.0,8.333333333333334,6.0
278.0,5.75,4.0,4.6,5.0,8.833333333333334,6.0,8.666666666666666,6.0
279.0,5.75,4.0,4.8,5.0,8.666666666666666,6.0,8.5,6.0
280.0,5.75,4.0,5.0,5.0,8.833333333333334,6.0,8.666666666666666,6.0
281.0,5.25,4.0,4.8,5.0,8.833333333333334,6.0,8.833333333333334,6.0
282.0,4.0,4.0,4.8,5.0,9.0,6.0,9.0,6.0
283.0,3.0,4.0,4.8,5.0,9.166666666666666,6.0,8.833333333333334,6.0
284.0,3.0,4.0,4.8,5.0,9.5,6.0,9.0,6.0
285.0,3.0,4.0,4.8,5.0,9.5,6.0,9.0,6.0
286.0,3.0,4.0,4.8,5.0,9.428571428571429,7.0,9.0,6.0
287.0,3.0,4.0,4.8,5.0,9.428571428571429,7.0,9.142857142857142,7.0
288.0,3.0,4.0,4.8,5.0,9.571428571428571,7.0,9.142857142857142,7.0
289.0,3.0,4.0,4.8,5.0,9.714285714285714,7.0,9.285714285714286,7.0
290.0,3.0,4.0,4.8,5.0,9.428571428571429,7.0,9.428571428571429,7.0
291.0,3.0,4.0,4.8,5.0,9.0,7.0,9.285714285714286,7.0
292.0,3.0,4.0,4.8,5.0,8.285714285714286,7.0,9.714285714285714,7.0
293.0,3.0,4.0,4.8,5.0,7.714285714285714,7.0,9.428571428571429,7.0
294.0,3.0,4.0,4.8,5.0,8.0,7.0,9.428571428571429,7.0
295.0,3.0,4.0,4.8,5.0,7.285714285714286,7.0,9.571428571428571,7.0
296.0,3.0,4.0,5.0,5.0,6.571428571428571,7.0,9.428571428571429,7.0
297.0,3.0,4.0,4.8,5.0,6.0,7.0,9.571428571428571,7.0
298.0,3.0,4.0,4.8,5.0,5.857142857142857,7.0,9.714285714285714,7.0
299.0,3.0,4.0,4.8,5.0,5.857142857142857,7.0,9.571428571428571,7.0
300.0,3.0,4.0,4.8,5.0,5.857142857142857,7.0,8.857142857142858,7.0
301.0,4.4,5.0,4.8,5.0,5.857142857142857,7.0,8.142857142857142,7.0
302.0,4.4,5.0,5.0,5.0,5.857142857142857,7.0,7.714285714285714,7.0
303.0,5.5,6.0,4.8,5.0,5.857142857142857,7.0,7.428571428571429,7.0
304.0,5.666666666666667,6.0,4.8,5.0,5.857142857142857,7.0,7.714285714285714,7.0
305.0,5.833333333333333,6.0,4.8,5.0,5.857142857142857,7.0,7.428571428571429,7.0
306.0,5.666666666666667,6.0,4.8,5.0,5.857142857142857,7.0,7.571428571428571,7.0
307.0,5.666666666666667,6.0,4.8,5.0,5.857142857142857,7.0,7.571428571428571,7.0
308.0,5.833333333333333,6.0,4.8,5.0,5.857142857142857,7.0,7.571428571428571,7.0
309.0,5.666666666666667,6.0,4.8,5.0,6.0,7.0,6.857142857142857,7.0
310.0,5.5,6.0,4.8,5.0,5.857142857142857,7.0,6.285714285714286,7.0
311.0,5.666666666666667,6.0,4.8,5.0,5.857142857142857,7.0,6.285714285714286,7.0
312.0,5.5,6.0,4.8,5.0,6.5,8.0,6.285714285714286,7.0
313.0,5.666666666666667,6.0,4.8,5.0,6.375,8.0,6.0,7.0
314.0,5.666666666666667,6.0,4.8,5.0,6.625,8.0,5.428571428571429,7.0
315.0,5.833333333333333,6.0,5.0,5.0,6.625,8.0,5.285714285714286,7.0
316.0,5.833333333333333,6.0,4.8,5.0,6.5,8.0,5.285714285714286,7.0
317.0,5.666666666666667,6.0,4.8,5.0,6.25,8.0,5.285714285714286,7.0
318.0,5.666666666666667,6.0,4.8,5.0,5.625,8.0,5.285714285714286,7.0
319.0,5.666666666666667,6.0,4.8,5.0,5.625,8.0,5.571428571428571,7.0
320.0,5.833333333333333,6.0,4.8,5.0,5.25,8.0,5.428571428571429,7.0
321.0,5.166666666666667,6.0,4.8,5.0,4.875,8.0,5.428571428571429,7.0
322.0,4.5,6.0,4.8,5.0,4.875,8.0,5.428571428571429,7.0
323.0,4.5,6.0,4.8,5.0,5.111111111111111,9.0,5.285714285714286,7.0
324.0,4.5,6.0,4.8,5.0,4.666666666666667,9.0,5.285714285714286,7.0
325.0,4.5,6.0,4.8,5.0,4.333333333333333,9.0,5.285714285714286,7.0
326.0,3.8333333333333335,6.0,4.8,5.0,4.0,9.0,5.285714285714286,7.0
327.0,3.6666666666666665,6.0,4.6,5.0,4.0,9.0,5.571428571428571,7.0
328.0,3.8333333333333335,6.0,3.8,5.0,4.0,9.0,5.0,7.0
329.0,3.6666666666666665,6.0,3.0,5.0,4.0,9.0,4.142857142857143,7.0
330.0,3.8333333333333335,6.0,2.4,5.0,4.111111111111111,9.0,2.857142857142857,7.0
331.0,3.6666666666666665,6.0,2.4,5.0,4.0,9.0,2.2857142857142856,7.0
332.0,3.8333333333333335,6.0,2.4,5.0,4.0,9.0,1.8571428571428572,7.0
333.0,3.6666666666666665,6.0,2.0,5.0,4.111111111111111,9.0,1.8571428571428572,7.0
334.0,3.6666666666666665,6.0,1.2,5.0,4.0,9.0,1.8571428571428572,7.0
335.0,3.8333333333333335,6.0,0.2,5.0,4.0,9.0,1.8571428571428572,7.0
336.0,3.6666666666666665,6.0,1.6666666666666667,6.0,4.111111111111111,9.0,1.8571428571428572,7.0
337.0,3.8333333333333335,6.0,1.6666666666666667,6.0,4.0,9.0,1.8571428571428572,7.0
338.0,3.6666666666666665,6.0,3.0,7.0,4.0,9.0,1.8571428571428572,7.0
339.0,3.8333333333333335,6.0,4.0,8.0,3.5555555555555554,9.0,2.875,8.0
340.0,3.8333333333333335,6.0,4.125,8.0,3.0,9.0,2.875,8.0
341.0,3.6666666666666665,6.0,5.111111111111111,9.0,3.111111111111111,9.0,2.875,8.0
342.0,3.6666666666666665,6.0,5.222222222222222,9.0,3.2222222222222223,9.0,2.375,8.0
343.0,3.8333333333333335,6.0,5.555555555555555,9.0,2.888888888888889,9.0,1.875,8.0
344.0,3.8333333333333335,6.0,5.555555555555555,9.0,2.5555555555555554,9.0,1.5,8.0
345.0,3.8333333333333335,6.0,6.0,9.0,2.5555555555555554,9.0,1.5,8.0
346.0,3.6666666666666665,6.0,6.222222222222222,9.0,2.5555555555555554,9.0,1.5,8.0
347.0,3.6666666666666665,6.0,6.333333333333333,9.0,2.6666666666666665,9.0,1.5,8.0
348.0,4.714285714285714,7.0,6.444444444444445,9.0,2.5555555555555554,9.0,1.5,8.0
349.0,4.714285714285714,7.0,6.333333333333333,9.0,2.6666666666666665,9.0,1.5,8.0
350.0,4.714285714285714,7.0,6.333333333333333,9.0,2.5555555555555554,9.0,1.5,8.0
351.0,5.0,7.0,6.444444444444445,9.0,2.5555555555555554,9.0,1.5,8.0
352.0,5.142857142857143,7.0,6.444444444444445,9.0,2.5555555555555554,9.0,1.5,8.0
353.0,5.625,8.0,6.444444444444445,9.0,2.5555555555555554,9.0,1.5,8.0
354.0,5.75,8.0,6.555555555555555,9.0,2.6666666666666665,9.0,1.5,8.0
355.0,5.875,8.0,6.444444444444445,9.0,2.5555555555555554,9.0,1.5,8.0
